concept id	name	element file id
FMA242207	cortex of right frontal lobe	FJ1745
FMA242207	cortex of right frontal lobe	FJ1788
FMA242207	cortex of right frontal lobe	FJ1834
FMA242209	cortex of left frontal lobe	FJ1744
FMA242209	cortex of left frontal lobe	FJ1787
FMA242209	cortex of left frontal lobe	FJ1833
FMA67944	cerebellum	FJ1781
FMA67944	cerebellum	FJ1830
FMA50801	brain	FJ1730
FMA50801	brain	FJ1731
FMA50801	brain	FJ1732
FMA50801	brain	FJ1733
FMA50801	brain	FJ1738
FMA50801	brain	FJ1739
FMA50801	brain	FJ1740
FMA50801	brain	FJ1743
FMA50801	brain	FJ1744
FMA50801	brain	FJ1745
FMA50801	brain	FJ1746
FMA50801	brain	FJ1747
FMA50801	brain	FJ1748
FMA50801	brain	FJ1749
FMA50801	brain	FJ1750
FMA50801	brain	FJ1751
FMA50801	brain	FJ1758
FMA50801	brain	FJ1759
FMA50801	brain	FJ1760
FMA50801	brain	FJ1762
FMA50801	brain	FJ1767
FMA50801	brain	FJ1769
FMA50801	brain	FJ1770
FMA50801	brain	FJ1775
FMA50801	brain	FJ1779
FMA50801	brain	FJ1780
FMA50801	brain	FJ1781
FMA50801	brain	FJ1783
FMA50801	brain	FJ1784
FMA50801	brain	FJ1785
FMA50801	brain	FJ1786
FMA50801	brain	FJ1787
FMA50801	brain	FJ1788
FMA50801	brain	FJ1789
FMA50801	brain	FJ1790
FMA50801	brain	FJ1791
FMA50801	brain	FJ1792
FMA50801	brain	FJ1795
FMA50801	brain	FJ1797
FMA50801	brain	FJ1798
FMA50801	brain	FJ1800
FMA50801	brain	FJ1801
FMA50801	brain	FJ1806
FMA50801	brain	FJ1807
FMA50801	brain	FJ1808
FMA50801	brain	FJ1810
FMA50801	brain	FJ1814
FMA50801	brain	FJ1817
FMA50801	brain	FJ1822
FMA50801	brain	FJ1826
FMA50801	brain	FJ1828
FMA50801	brain	FJ1830
FMA50801	brain	FJ1831
FMA50801	brain	FJ1833
FMA50801	brain	FJ1834
FMA50801	brain	FJ1835
FMA50801	brain	FJ1836
FMA50801	brain	FJ1841
FMA50801	brain	FJ1842
